,y,y(t)
0,5525,5495.0017882847
1,5480,5525.0017882847005
2,5410,5480.0017882847
3,5495,5410.0017882847
4,5735,5495.0017882847
5,5655,5735.0017882847
6,5635,5655.0017882847
7,5595,5635.0017882847
8,5500,5595.0017882847005
9,5515,5500.0017882847
10,5485,5515.0017882847
11,5240,5485.0017882847
12,5425,5240.0017882847
13,5355,5425.0017882847
14,5160,5355.0017882847
15,5145,5160.0017882847005
16,5120,5145.0017882847
17,4920,5120.0017882847005
18,4960,4920.0017882847
19,4830,4960.0017882847005
20,4850,4830.0017882847005
21,5170,4850.0017882847005
22,5220,5170.0017882847
23,5285,5220.001788284699
24,5355,5285.0017882847
25,5245,5355.0017882847
26,5295,5245.0017882847005
27,5220,5295.0017882847
28,5110,5220.002381298266
29,4920,5110.001851517385
30,4785,4920.0017882847
31,4765,4785.0017882847005
32,4680,4765.0017882847005
33,4765,4680.0017882847005
34,4970,4765.002381298267
35,4965,4970.0017882847
36,5295,4965.0017882847005
37,5190,5295.0017882847
38,5360,5190.0017882847005
39,5780,5360.0017882847005
40,5790,5780.0017882847
41,5725,5790.0017882847005
42,5900,5725.001788284699
43,5805,5900.0017882847
44,5800,5805.0017882847
45,5680,5800.0017882847
46,5670,5680.0017882847
47,5500,5670.0017882847
48,5760,5500.0017882847
49,5720,5760.0017882847
50,5585,5720.0017882847005
51,5575,5585.0017882847
52,5540,5575.002381298266
53,5620,5540.0017882847
54,5705,5620.002381298266
55,5725,5705.0017882847005
56,5645,5725.001788284699
57,5675,5645.0017882847
58,5695,5675.0017882847
59,5800,5695.0017882847005
60,5870,5800.0017882847
61,5870,5870.0017882847
62,5935,5870.001791344346
63,5990,5935.001791344346
64,6200,5990.001791344346
65,6100,6200.001791344346
66,6200,6100.001791344346
67,6175,6200.001791344346
68,6200,6175.0017882847
69,6150,6200.0017882847
70,6180,6150.001791344346
71,6120,6180.0017882847005
72,6140,6120.0017882847
73,6200,6140.0017882847005
74,6180,6200.0017882847
75,6200,6180.0017882847
76,6100,6200.0017882847
77,6100,6100.0017882847
78,6185,6100.002381298265
79,6135,6185.001791344345
80,6240,6135.0017882847
81,6130,6240.0017882847005
82,6210,6130.0017882847
83,6205,6210.001791344346
84,6260,6205.0017882847
85,6180,6260.001791344345
86,6120,6180.0017882847
87,6175,6120.0017882847
88,6260,6175.0017882847
89,6300,6260.001791344346
90,6405,6300.001791344346
91,6360,6405.001791344346
92,6330,6360.001791344346
93,6315,6330.001791344346
94,6365,6315.001791344346
95,6340,6365.0017882847005
96,6600,6340.0017882847005
97,6495,6600.0017882847005
98,6275,6495.001791344346
99,6520,6275.0017882847005
100,6435,6520.001791344346
101,6500,6435.0017882847005
102,6380,6500.002379258504
103,6285,6380.002381298267
104,6335,6285.0017882847005
105,6245,6335.0017882847005
106,5810,6245.002379258503
107,5905,5810.002379258503
108,6050,5905.002381298266
109,5860,6050.002381298265
110,5750,5860.002379258503
111,5755,5750.0017882847
112,5630,5755.0017882847
113,5605,5630.002379258503
114,5450,5605.0017882847005
115,5505,5450.002381298266
116,5445,5505.002379258504
117,5610,5445.0017882847005
118,5515,5610.0017882847005
119,5505,5515.0017882847
120,5420,5505.002379258504
121,5570,5420.0017882847005
122,5505,5570.002381298266
123,5520,5505.002379258504
124,5700,5520.0017882847005
125,5755,5700.002381298266
126,5780,5755.0017882847
127,5775,5780.0017882847
128,5855,5775.0017882847
129,5855,5855.002381298266
130,5900,5855.002381298266
131,5785,5900.0017882847
132,5760,5785.002379258503
133,5900,5760.002379258503
134,5805,5900.002381298266
135,5780,5805.0017882847
136,5800,5780.0017882847
137,5770,5800.0017882847
138,5815,5770.002381298266
139,5790,5815.002381298266
140,5820,5790.002379258503
141,5890,5820.0017882847
142,5820,5890.002379258503
143,6150,5820.0017882847
144,6300,6150.0017882847
145,6285,6300.0017882847005
146,6480,6285.0017882847005
147,6540,6480.002379258503
148,6420,6540.0017882847005
149,6390,6420.001802563048
150,6480,6390.002379258504
151,6550,6480.002379258503
152,6570,6550.0017882847005
153,6615,6570.001802563048
154,6600,6615.001802563048
155,6600,6600.0017882847005
156,6565,6600.0017882847005
157,6410,6565.0017882847005
158,6480,6410.0017882847005
159,6385,6480.001802563048
160,6205,6385.002379258504
161,6395,6205.002379258503
162,6450,6395.0017882847005
163,6460,6450.0017882847005
164,6390,6460.002379258504
165,6520,6390.002379258504
166,6490,6520.0017882847005
167,6575,6490.0017882847005
168,6735,6575.0017882847005
169,6820,6735.0017882847005
170,6790,6820.002381298268
171,6950,6790.0017882847005
172,6935,6950.002381298268
173,6800,6935.002381298268
174,6830,6800.0017882847005
175,6715,6830.002381298268
176,6725,6715.0017882847005
177,6780,6725.002381298268
178,6765,6780.002379258503
179,6770,6765.002381298267
180,6835,6770.002381298268
181,7090,6835.0017882847005
182,6945,7090.0017882847
183,6965,6945.002381298268
184,7050,6965.0017882847005
185,7345,7050.002379258504
186,7160,7344.998202841614
187,7120,7160.0017882847
188,7020,7120.0017882847
189,6955,7020.002379258503
190,7120,6955.002381298268
191,7095,7120.0017882847
192,7095,7095.0017882847
193,7075,7095.0017882847
194,7080,7075.002381298268
195,7035,7080.0017882847005
196,6820,7035.002379258503
197,6790,6820.002381298268
198,6900,6790.001791344346
199,6760,6900.002381298268
200,6820,6760.001791344346
201,6800,6820.002381298268
202,6825,6800.002381298268
203,6855,6825.002381298268
204,6915,6855.002379258504
205,6920,6915.001791344346
206,6980,6920.002381298268
207,6920,6980.002381298268
208,6880,6920.002381298268
209,6800,6880.002381298268
210,6940,6800.002381298268
211,6900,6940.002381298268
212,6735,6900.002381298268
213,6825,6735.001791344346
214,6790,6825.002381298268
215,6825,6790.001791344346
216,6725,6825.002381298268
217,6705,6725.002381298268
218,6710,6705.002381298268
219,7045,6710.001791344346
220,7015,7045.001791344345
221,7000,7015.002379258503
222,6720,7000.002381298268
223,6800,6720.002381298268
224,6720,6800.002381298268
225,6605,6720.002381298268
226,6705,6605.002381298268
227,6765,6705.002381298268
228,6665,6765.002381298267
229,6625,6665.002381298268
230,6610,6625.001791344346
231,6705,6610.002381298268
232,6760,6705.002381298268
233,6620,6760.001791344346
234,6565,6620.001791344346
235,6440,6565.001802563049
236,6370,6440.001802563049
237,6415,6370.001791344346
238,6360,6415.001802563049
239,6395,6360.001802563049
240,6215,6395.002381298268
241,6225,6215.002381298267
242,6155,6225.001802563048
243,6165,6155.001791344346
244,6250,6165.002381298267
245,6135,6250.001802563048
246,6200,6135.001802563048
247,6065,6200.001802563048
248,6000,6065.001791344345
249,6305,6000.001791344345
250,6280,6305.001802563049
251,6275,6280.001791344345
252,6270,6275.001791344345
253,6235,6270.001791344345
254,6165,6235.001802563048
255,6215,6165.001791344345
256,6390,6215.001802563048
257,6285,6390.001791344346
258,6405,6285.001802563049
259,6320,6405.001791344346
260,6410,6320.001791344346
261,6405,6410.001791344346
262,6390,6405.001802563049
263,6400,6390.001791344346
264,6425,6400.001802563049
265,6425,6425.001802563049
266,6400,6425.001802563049
267,6420,6400.002379258504
268,6480,6420.001791344346
269,6500,6480.002379258504
270,6390,6500.001791344346
271,6345,6390.002379258504
272,6380,6345.001791344346
273,6360,6380.002379258504
274,6325,6360.001791344346
275,6355,6325.001791344346
276,6270,6355.001791344346
277,6340,6270.001791344345
278,6375,6340.002381298268
279,6465,6375.002381298268
280,6600,6465.001791344346
281,6580,6600.002381298268
282,6530,6580.002381298268
283,6430,6530.001791344346
284,6530,6430.002379258503
285,6620,6530.001791344346
286,6470,6620.001791344346
287,6410,6470.001791344346
288,6470,6410.001791344346
289,6385,6470.002381298268
290,6330,6385.002381298268
291,6325,6330.002381298268
292,6250,6325.001791344346
293,6340,6250.002381298267
294,6230,6340.002379258503
295,6210,6230.001791344346
296,6190,6210.001791344346
297,6055,6190.001791344346
298,6045,6055.002379258503
299,6025,6045.001791344346
300,6025,6025.002381298267
301,6100,6025.002381298265
302,6110,6100.002381298265
303,6055,6110.002381298265
304,6065,6055.001851517385
305,6015,6065.001851517385
306,6020,6015.002381298265
307,6170,6020.002381298265
308,6045,6170.002379258503
309,5990,6045.001791344346
310,6115,5990.002381298265
311,6110,6115.002381298265
312,6005,6110.001791344346
313,6010,6005.001851517385
314,6155,6010.002381298265
315,6035,6155.002381298265
316,6005,6035.002381298265
317,6005,6005.002381298265
318,5980,6005.002381298265
319,6040,5980.002379258503
320,5970,6040.002381298265
321,5960,5970.002379258503
322,6145,5960.002381298267
323,6120,6145.001791344346
324,6300,6120.001791344346
325,6160,6300.001791344346
326,6200,6160.002381298267
327,6300,6200.002379258503
328,6300,6300.001791344346
329,6410,6300.002379258503
330,6420,6410.002379258503
331,6600,6420.002379258503
332,6600,6600.002379258503
333,6600,6600.002379258503
334,6590,6600.002379258503
335,6600,6590.002379258503
336,6600,6600.002381298266
337,6560,6600.002381298266
338,6510,6560.002379258503
339,6565,6510.002379258503
340,6550,6565.002381298269
341,6565,6550.002381298269
342,6540,6565.002381298269
343,6600,6540.002381298269
344,6575,6600.001788284699
345,6570,6575.002381298269
346,6440,6570.002381298268
347,6570,6440.001791344346
348,6520,6570.002381298268
349,6555,6520.002381298268
350,6545,6555.001802563049
351,6495,6545.001850497503
352,6500,6495.001788284699
353,6520,6500.001791344346
354,6585,6520.001791344346
355,6490,6585.002381298267
356,6555,6490.001791344346
357,6580,6555.001791344346
358,6585,6580.001850497503
359,6580,6585.001850497503
360,6520,6580.001850497503
361,6580,6520.001791344346
362,7000,6580.001850497503
363,6760,7000.001851517385
364,6960,6760.001791344346
365,6945,6960.002379768445
366,7180,6945.001851517385
367,7160,7180.002379258503
368,7290,7160.001788284699
369,7255,7289.997674080613
370,7320,7254.997625126276
371,7525,7319.998201821731
372,7750,7524.998201821731
373,7650,7749.998202841614
374,7525,7649.997625126276
375,7500,7524.997625126276
376,7400,7499.997625126276
377,7525,7399.997610847926
378,7525,7524.998201821731
379,7525,7524.998203861494
380,7450,7524.997610847926
381,7375,7449.997674080612
382,7475,7374.998202841613
383,7400,7474.998202841614
384,7300,7399.998202841614
385,7350,7299.997610847926
386,7375,7349.997625126276
387,7450,7374.998202841614
388,7575,7449.997674080612
389,7675,7574.998201821731
390,7650,7674.998202841614
391,7675,7649.997610847926
392,7525,7674.998202841614
393,7500,7524.998201821731
394,7475,7499.998202841614
395,7575,7474.998202841614
396,7400,7574.998201821731
397,7425,7399.998202841614
398,7475,7424.998202841614
399,7475,7474.998203861494
400,7475,7474.997610847926
401,7425,7474.998201821731
402,7275,7424.997610847926
403,7400,7274.998201821731
404,7275,7399.99767306073
405,7300,7274.998201821731
406,7500,7299.998202841614
407,7375,7499.998202841614
408,7350,7374.998202841613
409,7350,7349.997625126276
410,7425,7349.997674080613
411,7350,7424.99767306073
412,7375,7349.997674080613
413,7300,7374.998202841614
414,7300,7299.998202841614
415,7300,7299.998202841614
416,7275,7299.998202331673
417,7500,7274.998202841614
418,7375,7499.998202841614
419,7375,7374.998202841614
420,7325,7374.99767306073
421,7300,7324.997674080613
422,7300,7299.998202331673
423,7350,7299.998202841614
424,7350,7349.997674080613
425,7300,7349.997674080613
426,7300,7299.998202841614
427,7325,7299.998202841614
428,7400,7324.998201821731
429,7450,7399.998202331672
430,7475,7449.998202841614
431,7650,7474.998201821731
432,7600,7649.998202841614
433,7700,7599.998201821731
434,7700,7699.99767306073
435,7700,7699.99767306073
436,7850,7699.99767306073
437,7750,7849.9982023316725
438,7675,7749.997674080612
439,7675,7674.9982023316725
440,7775,7674.998201821731
441,7950,7774.9982023316725
442,7800,7949.997674080612
443,7775,7799.9982023316725
444,7700,7774.9982023316725
445,7800,7699.997674080612
446,7775,7799.9982023316725
447,7625,7774.9982023316725
448,7800,7624.9982023316725
449,7725,7799.998201821731
450,7725,7724.9982023316725
451,7800,7724.9982023316725
452,7725,7799.998203861496
453,7950,7724.9982023316725
454,7750,7949.997674080612
455,7825,7749.9982023316725
456,7700,7824.9982023316725
457,7875,7699.998202331673
458,7975,7874.998201821731
459,7900,7974.9982023316725
460,7925,7899.9982023316725
461,7950,7924.998201821732
462,7900,7949.997674080612
463,8050,7899.997674080612
464,8000,8049.998201821732
465,8050,7999.998201821732
466,8050,8049.997674080612
467,7975,8049.997674080612
468,7900,7974.997674080612
469,7700,7899.997674080612
470,7650,7699.998201821732
471,7850,7649.998203861496
472,7925,7849.998203861496
473,7950,7924.997674080612
474,8075,7949.998201821731
475,8150,8074.998203861496
476,8200,8149.998203861496
477,8000,8199.998203861496
478,7900,7999.997674080612
479,7900,7899.998203861496
480,7925,7899.998203861496
481,7900,7924.997674080612
482,7925,7899.998203861496
483,7950,7924.998203861496
484,7900,7949.998201821731
485,7850,7899.997674080612
486,7875,7849.998203861496
487,7975,7874.997674080612
488,7925,7974.998201821731
489,7900,7924.998203861496
490,7900,7899.998201821731
491,7750,7899.998203861496
492,7750,7749.998203861496
493,7850,7749.998203861496
494,7725,7849.998201821731
495,7800,7724.998203861496
496,7800,7799.998203861496
497,7700,7799.997674080613
498,7700,7699.998203861496
499,7625,7699.998203861496
500,7650,7624.998203861496
501,7925,7649.998203861496
502,7875,7924.998201821731
503,8000,7874.998203861496
504,8125,7999.998203861496
505,8200,8124.998201821731
506,8125,8199.998203861496
507,7600,8124.998201821731
508,7525,7599.998201821731
509,7650,7524.997674080613
510,7275,7649.998203861496
511,7325,7274.998203861497
512,7400,7324.998201821731
513,7575,7399.998203861496
514,7450,7574.998201821731
515,7400,7449.997674080612
516,7375,7399.998203861496
517,7350,7374.998203861496
518,7375,7349.997674080613
519,7575,7374.998201821731
520,7575,7574.998201821731
521,7750,7574.997674080612
522,7575,7749.997674080612
523,7600,7574.997674080612
524,7450,7599.998201821731
525,7375,7449.997674080612
526,7600,7374.998201821731
527,7500,7599.997674080612
528,7350,7499.998203861496
529,7350,7349.997674080613
530,7400,7349.998203861496
531,7325,7399.998203861496
532,7575,7324.998201821731
533,7500,7574.997674080612
534,7625,7499.997610847927
535,7650,7624.998201821731
536,7500,7649.998201821731
537,7525,7499.998203861496
538,7475,7524.998203861496
539,7350,7474.997610847927
540,7300,7349.997610847928
541,7275,7299.998203861496
542,7250,7274.998203861497
543,7250,7249.997674080613
544,7050,7249.997674080613
545,7250,7050.002379768444
546,7300,7249.997674080613
547,7100,7299.997674080613
548,7150,7100.001850497503
549,7125,7150.001788284699
550,7175,7125.002381298266
551,7000,7175.002381298266
552,7025,7000.001851517385
553,7000,7025.001788284699
554,7150,7000.001802563049
555,7175,7150.001788284699
556,7400,7175.002381298266
557,7400,7399.998203861496
558,7325,7399.998203861496
559,7300,7324.998201821731
560,7300,7299.997674080613
561,7325,7299.997610847927
562,7350,7324.998201821731
563,7350,7349.997610847928
564,7500,7349.998203861496
565,7600,7499.998203861496
566,7625,7599.998203861496
567,7800,7624.998203861496
568,7875,7799.997674080613
569,7875,7874.998201821731
570,7900,7874.998203861496
571,7900,7899.998203861496
572,7950,7899.997610847927
573,7925,7949.998203861496
574,7950,7924.998203861496
575,7975,7949.998203861496
576,8000,7974.998203861496
577,7900,7999.997625126276
578,8000,7899.998201821731
579,7900,7999.997625126276
580,7950,7899.998201821731
581,8075,7949.997625126276
582,8000,8074.998202331672
583,8150,7999.997625126276
584,8175,8149.998203861496
585,8200,8174.997610847927
586,8150,8199.997625126276
587,8225,8149.998203861496
588,8275,8224.997625126276
589,8275,8274.997610847928
590,8375,8274.99820182173
591,8350,8374.998203861498
592,8375,8349.997625126276
593,8375,8374.998203861498
594,8525,8374.998203861498
595,8500,8524.998203861496
596,8750,8499.998202331673
597,8450,8749.997610847928
598,8650,8449.998203861496
599,8550,8649.998203861496
600,8475,8549.998203861496
601,8475,8474.99820182173
602,8375,8474.99820182173
603,8425,8374.998203861496
604,8300,8424.997674080614
605,8325,8299.997610847928
606,8375,8324.99820182173
607,8550,8374.997610847928
608,8500,8549.997610847928
609,8550,8499.998203861496
610,8450,8549.998203861496
611,8425,8449.998203861496
612,8200,8424.997674080614
613,8300,8199.997625126276
614,8250,8299.998203861496
615,8325,8249.998202331673
616,8275,8324.998203861496
617,8250,8274.998202331673
618,8250,8249.998202331673
619,8300,8249.998202331673
620,8275,8299.998203861496
621,8500,8274.998203861496
622,8650,8499.998203861496
623,8900,8649.998203861496
624,8700,8899.998203861496
625,8550,8699.998203861496
626,8700,8549.998202331672
627,8750,8699.998203861496
628,8800,8749.998203861496
629,8800,8799.99820182173
630,8750,8799.997674080614
631,8800,8749.998203861496
632,8775,8799.997674080614
633,8850,8774.997610847928
634,8750,8849.997674080614
635,8875,8749.99820182173
636,8800,8874.997674080614
637,8850,8799.997674080614
638,8750,8849.997674080614
639,8800,8749.997610847928
640,8600,8799.998203861496
641,8725,8599.997610847928
642,8825,8724.99820182173
643,8725,8824.997674080614
644,8900,8724.99820182173
645,8875,8899.997674080614
646,9000,8874.997674080614
647,8975,8999.997610847928
648,9025,8974.998203861496
649,8975,9024.997674080614
650,9300,8974.998203861496
651,9000,9299.998203861498
652,8900,8999.997674080614
653,8775,8899.998203861496
654,8675,8774.997674080614
655,8450,8674.998203861496
656,8500,8449.997674080614
657,8575,8499.997674080614
658,8700,8574.997625126276
659,8700,8699.99820182173
660,8625,8699.997625126276
661,8500,8624.998203861496
662,8600,8499.997625126276
663,8650,8599.997625126276
664,8575,8649.997610847928
665,8675,8574.997610847928
666,8575,8674.997610847928
667,8500,8574.997625126276
668,8575,8499.997625126276
669,8600,8574.997625126276
670,8650,8599.997625126276
671,8575,8649.997625126276
672,8550,8574.997625126276
673,8550,8549.997610847928
674,8550,8549.997625126276
675,8350,8549.997625126276
676,8250,8349.997610847928
677,8300,8249.997625126276
678,8450,8299.997610847928
679,8175,8449.997610847928
680,8125,8174.997610847928
681,8175,8124.998201821731
682,8050,8174.998201821731
683,8150,8049.997625126276
684,8325,8149.997625126276
685,8300,8324.997610847928
686,8325,8299.997610847928
687,8300,8324.997610847928
688,8225,8299.997625126276
689,8200,8224.997625126276
690,8475,8199.997625126276
691,8700,8474.99820182173
692,8700,8699.997674080612
693,8475,8699.997674080612
694,8500,8474.997625126276
695,8450,8499.997625126276
696,8700,8449.997610847928
697,8725,8699.997625126276
698,8850,8724.997674080612
699,8825,8849.997625126278
700,8900,8824.997610847928
701,8825,8899.997610847928
702,8875,8824.997625126276
703,8950,8874.997625126276
704,8875,8949.997625126276
705,8700,8874.997625126276
706,8725,8699.998202841613
707,8750,8724.997674080612
708,8700,8749.997625126276
709,8675,8699.998202841613
710,8725,8674.997625126276
711,8675,8724.998202841613
712,8775,8674.998202841613
713,8750,8774.997625126276
714,8600,8749.997625126276
715,8625,8599.998202841613
716,8475,8624.998202841613
717,8400,8474.998202841613
718,8425,8399.997625126276
719,8575,8424.997625126276
720,8575,8574.997625126276
721,8450,8574.998202841613
722,8550,8449.997625126276
723,8325,8549.997625126276
724,8325,8324.997625126276
725,8300,8324.998203861496
726,8375,8299.998202841613
727,8400,8374.998203861496
728,8500,8399.998202841613
729,8825,8499.998203861496
730,8700,8824.998203861496
731,8675,8699.998203861496
732,8800,8674.998203861496
733,8825,8799.998203861496
734,8750,8824.998202841614
735,8800,8749.998203861496
736,8775,8799.998203861496
737,8725,8774.998203861496
738,8750,8724.998203861496
739,8800,8749.998203861496
740,8825,8799.998202841614
741,8900,8824.998203861496
742,8925,8899.998203861496
743,9000,8924.998202841614
744,9025,8999.998203861496
745,9125,9024.998203861496
746,9200,9124.998203861496
747,9150,9199.998202841614
748,9050,9149.998203861496
749,9050,9049.998203861496
750,8925,9049.998202841613
751,9000,8924.998203861496
752,9000,8999.998202331673
753,9000,8999.998203861494
754,8925,8999.998202331673
755,8925,8924.998202841614
756,8825,8924.998202331673
757,8800,8824.998202331673
758,8775,8799.998202841613
759,8700,8774.998202841613
760,8775,8699.998202841613
761,9000,8774.998202841613
762,9000,8999.998202841613
763,9125,8999.998202841614
764,9025,9124.998202841613
765,9050,9024.997674080614
766,9150,9049.998203861494
767,9150,9149.998202841614
768,9250,9149.998202841614
